1	above	Paman	Kurtjar	ngkaard, ngkardiyang	28
1	above	Paman	KuukThaayorre		0
1	above	Paman	KuukuYa’u		0
1	above	Lower Murray	LakeHindmarsh		0
1	above	Tangkic	Lardil	walmaan, yarii	53
1	above	Paman	Linngithigh	mbir	42
1	above	unknown	LowerBurdekin		0
1	above	Western Torres	Mabuiag	gimal	9
1	above	Kartu	Malgana		0
1	above	Ngumpin-Yapa	Malngin	kankula	3
1	above	Yardli	Malyangapa		0
1	above	Marrngu	MangalaMcK	kankarni	3
1	above	Marrngu	MangalaNW	kaŋani; kaŋani-marraŋu	3
1	above	Wati	Manjiljarra		0
1	above	Maric	Margany		0
1	above	Wati	MartuWangka	kan.ka	3
1	above	Ngayarta	Martuthunira	kankarni	3
1	above	Waka-Kabi	MaryRiverandBunyaBunyaCountry	ba’ritha	40
1	above	Kulin	MathiMathi		0
1	above	Mayi	MayiKulan		0
1	above	Mayi	MayiKutuna		0
1	above	Mayi	MayiThakurti		0
1	above	Mayi	MayiYapi		0
1	above	Paman	Mbabaram		0
1	above	Paman	Mbakwithi		0
1	above	Paman	Mbiywom		0
1	above	Bandjalangic	Minjungbal	wayi-ma-ya	37
1	above	Tangkic	Minkin		0
1	above	Mirniny	Mirniny		0
1	above	Karnic	Mithaka		0
1	above	Yuin-Kuri	Moneroo		0
1	above	Karnic	MountFreelingDiyari	mirrie	13
1	above	Paman	Mpalityan		0
1	above	Ngumpin-Yapa	Mudburra	dimbu	19
1	above	Ngumpin-Yapa	MudburraMcC	kankulu	3
1	above	Wati	MuliarraTribe		0
1	above	Muruwaric	Muruwari	karranta	43
1	above	Thura-Yura	Narrungga		0
1	above	Maric	NatalDowns		0
1	above	Lower Murray	NedsCornerStation		0
1	above	Bandjalangic	NerangCreek		0
1	above	Nyungar	NewNorciaandLeschenaultBay		0
1	above	Bandjalangic	NggoiMwoi	nurring	45
1	above	Wati	Ngaanyatjarra	kankararra	3
1	above	Mirniny	Ngadjumaya	maadu	6
1	above	Thura-Yura	Ngadjuri	aru'watung	14
1	above	Lower Murray	Ngaiawang		0
1	above	Karnic	Ngamini	kurumu	20
1	above	Ngumpin-Yapa	Ngardily		0
1	above	Yuin-Kuri	Ngarigu	nyalang	39
1	above	Ngumpin-Yapa	Ngarinyman	kan.kula	3
1	above	Ngayarta	Ngarla	kankara	3
1	above	Ngayarta	Ngarluma	gankara-ŋuru	3
1	above	Lower Murray	Ngarrindjeri	kerau kiath [murray]	21
1	above	Mayi	Ngawun		0
1	above	Paman	Nggoth		0
1	above	Central NSW	Ngiyambaa	ŋanawa	12
1	above	Tangkic	Nguburindi		0
1	above	Yuin-Kuri	Ngunawal	yurung	47
1	above	Kartu	Nhanta	irrangkaq	58
1	above	Karnic	Nhirrpi		0
1	above	Marrngu	NorthernMangarla	kankarningu	3
1	above	Marrngu	NorthernNyangumarta	kanka	3
1	above	Paman	Ntrangith		0
1	above	Thura-Yura	Nukunu		0
1	above	Ngayarta	Nyamal	kankarla	3
1	above	Marrngu	Nyangumarta	kankarni	3
1	above	Dyirbalic	Nyawaygi		0
1	above	Nyungar	Nyungar	yearer	27
1	above	Paman	Olkola		0
1	above	Paakantyi	Paakantyi		0
1	above	Paman	Pakanh	katningka / kaningka above	62
1	above	Yotayotic	Pallanganmiddang		0
1	above	Ngayarta	Panyjima	kankala	3
1	above	Thura-Yura	Parnkala	kakkannara	3
1	above	Kanyara-Mantharta	Payungu	kankara	3
1	above	Kulin	Piangil		0
1	above	Nyungar	Pinjarra		0
1	above	Wati	PintupiLuritja	katu, kankarra	7
1	above	Karnic	Pirriya		0
1	above	Wati	Pitjantjatjara	katu	7
1	above	Karnic	PittaPitta	yakirli ŋalpa	35
1	above	Yuin-Kuri	PortMacQuarie		0
1	above	Karnic	Punthamara		0
1	above	Kanyara-Mantharta	Purduna		0
1	above	Lower Murray	PytuReach		0
