# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jul 26 14:30:17 AEST 2020 [seed=1595737814992]
# -threads 8 xml/biphone_binary_SMGR_2020-07-23_ch1.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(Arandic)	tmrca(Bandjalangic)	tmrca(CentralNSW)	tmrca(Gumbaynggiric)	tmrca(Kalkatungic)	tmrca(KanyaraMatharta)	tmrca(Karnic)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Mayi)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(PamaMaric)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(WakaKabi)	tmrca(Warluwaric)	tmrca(Wati)	tmrca(Yolngu)	age(Arandic)	age(Bandjalangic)	age(CentralNSW)	age(Gumbaynggiric)	age(Kalkatungic)	age(KanyaraMatharta)	age(Karnic)	age(Kartu)	age(Marrngu)	age(Mayi)	age(Ngayarta)	age(NgumpinYapa)	age(PamaMaric)	age(SouthWest)	age(ThuraYura)	age(WakaKabi)	age(Warluwaric)	age(Wati)	age(Yolngu)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	speciation
0	-40761.75462781134	-2100.798754502615	-38660.955873308725	3516.843521370477	3516.843521370477	17415.864702102186	0.0	39.61904584386184	92.31038612839974	95.58685520343751	56.63649803479808	119.73216377385324	115.4157582125408	331.64700507757385	81.60030543225866	18.087701824040547	324.28887539563266	237.86459113426992	204.09303097713547	29.562719638819964	94.43114761950055	56.74189675014411	83.01435623689653	3500.0	56.58054049265473	0.0	39.61904584386184	92.31038612839974	95.58685520343751	56.63649803479808	119.73216377385324	115.4157582125408	331.64700507757385	81.60030543225866	18.087701824040547	324.28887539563266	237.86459113426992	204.09303097713547	29.562719638819964	94.43114761950055	56.74189675014411	83.01435623689653	3500.0	56.58054049265473	0.001	0.0	0.366	0.5	0.001	0.1	8.410999318904746E-4	7.434632534973266	-0.022915536277050664	-38660.955873308725	-1199.394378775646	-882.6076160368415
10000	-16926.48277062134	-1972.8190940606396	-14953.663676560702	4529.1621768940895	4529.1621768940895	25763.005016085557	0.0	3.846777375203793	136.30095233435244	47.92772729257942	85.94950505407128	130.71974727712805	174.08759650563908	67.18393164484104	183.1382045686252	21.77076780336943	364.31763159954227	269.6437556479259	319.9668447457654	50.475014409981426	124.32088556999312	132.8318509839366	107.41527760301693	4500.369625761303	168.44705552188884	0.0	3.846777375203793	136.30095233435244	47.92772729257942	85.94950505407128	130.71974727712805	174.08759650563908	67.18393164484104	183.1382045686252	21.77076780336943	364.31763159954227	269.6437556479259	319.9668447457654	50.475014409981426	124.32088556999312	132.8318509839366	107.41527760301693	4500.369625761303	168.44705552188884	0.006113134417550578	0.0	0.366	0.45911711946370076	0.002986037956869614	0.010442466001243628	5.331634801983085E-4	1.744625318695456	0.09623988737803292	-14953.663676560702	-1199.394378775646	-757.6552769238818
20000	-16644.0157378976	-1985.2450224977074	-14658.770715399893	4643.978999200524	4643.978999200524	34394.674870056435	0.0	10.772869224187033	239.3575652620433	174.39148786281035	162.89165820847182	230.00334043426727	226.2741474826287	119.57803519413446	321.33668457015597	46.48586093449238	627.5356860987142	379.948724233912	414.0738006679604	120.39178480698695	225.92331383210058	228.8210216906291	197.7993593999825	3871.9239591735754	288.324180545656	0.0	10.772869224187033	239.3575652620433	174.39148786281035	162.89165820847182	230.00334043426727	226.2741474826287	119.57803519413446	321.33668457015597	46.48586093449238	627.5356860987142	379.948724233912	414.0738006679604	120.39178480698695	225.92331383210058	228.8210216906291	197.7993593999825	3871.9239591735754	288.324180545656	0.00511459911406658	0.0	0.366	0.5388096996128379	0.0018268044916761987	0.006845026531855517	4.095167106261048E-4	1.8326952707042048	0.021612668872562153	-14658.770715399893	-1199.394378775646	-771.5929766091749
30000	-16579.50856407984	-2002.0365567550075	-14577.472007324832	4998.134947064526	4998.134947064526	40293.97782662757	0.0	19.60902194489555	216.6614194699083	234.62400297795287	201.4143201187692	280.8755620592301	266.5733739387836	122.32793326211136	393.75115529171455	45.135328669080124	712.2353834398142	506.99286697152127	481.07274408770866	145.45766063498243	216.26382102093058	145.9732690709823	250.42909670605104	4344.280209300045	321.46880581882647	0.0	19.60902194489555	216.6614194699083	234.62400297795287	201.4143201187692	280.8755620592301	266.5733739387836	122.32793326211136	393.75115529171455	45.135328669080124	712.2353834398142	506.99286697152127	481.07274408770866	145.45766063498243	216.26382102093058	145.9732690709823	250.42909670605104	4344.280209300045	321.46880581882647	0.003982323672233704	0.0	0.366	0.5175289010500146	0.0013206990381570932	0.004714297971671985	3.0234743397486495E-4	1.7935238390486599	0.029142353060213413	-14577.472007324832	-1199.394378775646	-788.3661084253499
40000	-16509.82186996015	-2009.1244571112852	-14500.697412848864	4766.189427876854	4766.189427876854	44051.41044364239	0.0	83.18110320608594	257.3800035377381	294.9974363627528	293.9599687754316	346.2837828432163	320.44938609734913	162.85204166402167	454.21798947769844	57.99586049801041	700.8957108519568	521.834032815729	606.7218044854186	179.85259731750924	263.9810023778837	194.22694221966742	260.95669946413585	4700.7319916440265	404.4864816450533	0.0	83.18110320608594	257.3800035377381	294.9974363627528	293.9599687754316	346.2837828432163	320.44938609734913	162.85204166402167	454.21798947769844	57.99586049801041	700.8957108519568	521.834032815729	606.7218044854186	179.85259731750924	263.9810023778837	194.22694221966742	260.95669946413585	4700.7319916440265	404.4864816450533	0.003563107369004374	0.0	0.366	0.5635896111063377	0.0012235555300019255	0.005023476726315866	2.6004668713028024E-4	1.9232709141430107	0.08055786913933716	-14500.697412848864	-1199.394378775646	-794.1785572534676
50000	-16456.3232863871	-1999.8752825434751	-14456.448003843625	3293.067585834244	3293.067585834244	43963.948719131746	0.0	67.98362118674422	352.139966605794	198.1645354801037	299.03711955967697	352.7843457942955	368.35513383532725	192.38018731280644	510.2536970092485	83.81602924895084	727.7340049607243	574.3742943406562	675.3755673615603	204.75709042201348	297.89566391805346	250.56399843253658	249.73452298896757	3241.76881145409	456.39492512607137	0.0	67.98362118674422	352.139966605794	198.1645354801037	299.03711955967697	352.7843457942955	368.35513383532725	192.38018731280644	510.2536970092485	83.81602924895084	727.7340049607243	574.3742943406562	675.3755673615603	204.75709042201348	297.89566391805346	250.56399843253658	249.73452298896757	3241.76881145409	456.39492512607137	0.0042274328040672405	0.0	0.366	0.4844146344271025	8.479069427268792E-4	0.002854361405700783	2.5310172612975316E-4	1.7937773347929034	0.11345042252147572	-14456.448003843625	-1199.394378775646	-782.597750475755
60000	-16501.911124434748	-2039.3928878404595	-14462.51823659429	4856.227503425553	4856.227503425553	64225.07540396484	0.0	59.25256209408814	454.888797021657	202.60363814041327	331.9620015413862	526.2332963054395	430.94736490229593	293.92633205813246	743.9729140629687	119.53097039255786	1329.7535228017916	902.2616646424118	1009.1122600724677	294.70643088912016	429.43220813048873	255.44620389688563	388.26525943898304	4848.141602508299	641.2393377308572	0.0	59.25256209408814	454.888797021657	202.60363814041327	331.9620015413862	526.2332963054395	430.94736490229593	293.92633205813246	743.9729140629687	119.53097039255786	1329.7535228017916	902.2616646424118	1009.1122600724677	294.70643088912016	429.43220813048873	255.44620389688563	388.26525943898304	4848.141602508299	641.2393377308572	0.002668013514932088	0.0	0.366	0.5694331935636381	5.834895487741033E-4	0.0021028593113993892	1.7824290504743812E-4	1.820600241251752	0.07455227206363955	-14462.51823659429	-1199.394378775646	-824.6819303095134
70000	-16498.8320587418	-2046.2567521457986	-14452.575306595998	3924.318977147287	3924.318977147287	73843.87848257454	0.0	245.1785469823959	551.2745619743132	472.7461436825418	356.3202998145452	704.2171540409257	552.5866622223739	391.70274092910097	964.6344154025675	166.82462914762633	1634.3385905920295	1052.5171040283615	1257.9910286757956	405.59406883762006	458.74446855458496	525.4881408129199	534.6473604534483	3693.2479946131134	837.0841219420266	0.0	245.1785469823959	551.2745619743132	472.7461436825418	356.3202998145452	704.2171540409257	552.5866622223739	391.70274092910097	964.6344154025675	166.82462914762633	1634.3385905920295	1052.5171040283615	1257.9910286757956	405.59406883762006	458.74446855458496	525.4881408129199	534.6473604534483	3693.2479946131134	837.0841219420266	0.002400763993609565	0.0	0.366	0.5441831235874959	4.0077415209334547E-4	0.0013479199966576429	1.5465633657480056E-4	1.7609972432921108	0.0920152464554225	-14452.575306595998	-1199.394378775646	-831.5899334526559
80000	-16502.11780400385	-2068.366527839462	-14433.751276164388	4047.70450544748	4047.70450544748	95899.06772511253	0.0	160.0920958511622	628.0934178206614	620.5376064092234	816.613524444818	916.144147233987	914.5110329537769	485.32527273037215	1252.2965325314278	261.79777710240666	1395.3024721271254	1528.616194057829	1591.486780900498	662.6895552980284	545.6931581863754	683.2219289712928	861.3440497955676	3812.6640479847706	1254.4293836676031	0.0	160.0920958511622	628.0934178206614	620.5376064092234	816.613524444818	916.144147233987	914.5110329537769	485.32527273037215	1252.2965325314278	261.79777710240666	1395.3024721271254	1528.616194057829	1591.486780900498	662.6895552980284	545.6931581863754	683.2219289712928	861.3440497955676	3812.6640479847706	1254.4293836676031	0.002061921553657324	0.0	0.366	0.5108781512283758	2.3392635462853148E-4	5.550936743632216E-4	1.2084614869472681E-4	1.450998560941902	0.07658884266896297	-14433.751276164388	-1199.394378775646	-854.4210677570552
90000	-16479.766190713905	-2068.2704782289075	-14411.495712484999	3693.7068419128695	3693.7068419128695	94798.76095639545	0.0	56.492886919301306	993.1617252068904	483.6642451317654	480.54249490778204	793.9707036458748	920.2349503520542	598.4314678991268	1115.557783957247	258.3773499539151	1237.7508458866444	1649.4054132388308	1388.6046254497032	903.8674344793864	521.6148893109339	867.6955631433398	757.070105083817	3679.3824102412946	1360.266665880046	0.0	56.492886919301306	993.1617252068904	483.6642451317654	480.54249490778204	793.9707036458748	920.2349503520542	598.4314678991268	1115.557783957247	258.3773499539151	1237.7508458866444	1649.4054132388308	1388.6046254497032	903.8674344793864	521.6148893109339	867.6955631433398	757.070105083817	3679.3824102412946	1360.266665880046	0.0021582067179652053	0.0	0.366	0.48177055354892767	2.17587748833801E-4	4.7929783047634026E-4	1.2598609108491356E-4	1.413881957428178	0.19570788703127814	-14411.495712484999	-1199.394378775646	-853.36752632079
