Glottolog_code,Nearest_glottolog_code,Glottolog_name,Taxonomy,Name,Major_group,Major_group_CB2018,Subgroup,Family,PN_C_group,PN_W_group,PN_NE_group,PN_SE_group,BandA2012_Taxon_label,Bowern_285_taxon_label,Bowern_307_taxon_label,Taxon_equivalence,Longitude,Latitude,Attestation,Attestation_source,Inherit_vocab_from,Reason_for_inheritance_choice,lexicon_source,lexicon_access,lexicon_access_reference,lexicon_uncertainty,segment_uncertainty,CHIRILA_source,o2p_source,o2p_comments,p2x_source,p2x_comments,Vocab_ID,Vocab_attestation,Vocab_workstage,AusPhonAlts_ID,Grammar_Harvester_files,Alts_source,Alts_to_do_next,Inventory_source,Inventory_source_identifier,Inv_source_id,Invenotry_is_tentative,Inventory_to_do_next,Inventory_my_modifications,Apicals,Laminals,Glottal,Obstruents,Missing_laterals,BhDhGh,Vowels,Vowel_lengths,Add_extra,Remove_extra,Rounded_extra,Inventory_PHOIBLE_notes
yuga1244,,Yugambal,Pama-Nyungan | Yugambalic | Yugambal,Yugambal,PN Southeast,PN Southeast,PN Qld-NSW coast,Pama-Nyungan,_other,_other,_other,Qld-NSW coast,,,,,151.796255,-29.487765,,Wafer+2008:768-775,yugu1249,temp; else biga1237,,,,,,,,,,,,-1 under 150w,-1 under 150w,,,,,Wafer&Lisserague 2008:767,wafer_handbook_2008,308697,TRUE,,,1,PAL,0,1,P,0,3,1,0,0,,
hawk1239,,Hawkesbury,Pama-Nyungan | Yuin-Kuri | Iyora | Darkinyung,Darkinyung,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Darkinyung,Darkinyung,,150.52882,-32.788825,,,self,,jones_darkinyung_2008,published,,reconstituted,{},CHIRILA/not_released/Jones 2008,jones_darkinyung_2008,,,,1041,1 reconstituted only,8 to check,179,Darkinyung_6785_augmented_Jones_2008.xml,Jones 2008,,Jones 2008,jones_darkinyung_2008,6785,TRUE,,,1,2,0,1,PD,0,3,1,0,0,,
0000dharuk,sydn1236,Sydney,Pama-Nyungan | Yuin-Kuri | Iyora | Dharuk,Dharuk,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,Dharuk,Dharuk,Dharuk,Dharuk,150.276008,-33.397923,,,self,,troy_sydney_1994,online,http://dalang.com.au/Dharug/reference/troy_sydney_language_publication.pdf,reconstituted,,CHIRILA/not_released/Troy in Macquarie,troy_sydney_1992,,,,65,1 reconstituted only,8 to check,,,,,Troy 1994,troy_sydney_1992,1996,TRUE,,,1,2,0,1,D,0,3,1,0,0,,
0000eora,sydn1236,Sydney,Pama-Nyungan | Yuin-Kuri | Iyora | Iyora,Eora,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Iyora,Iyora,,151.110781,-33.610413,,,self,,troy_sydney_1994,published,,reconstituted,{},CHIRILA/not_released/Troy in Macquarie,troy_sydney_1992,,,,987,1 merged varieties,8 to check,,,,,Troy 1994,troy_sydney_1992,1996,TRUE,,,1,2,0,1,D,0,3,1,0,0,,
awab1243,,Awabakal,Pama-Nyungan | Yuin-Kuri | Kuri | Awabakal,Awabakal,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Awabakal,Awabakal,,151.319806,-32.74311,see Lissarague 2006 / A&L2008:634ff,,self,,lissarrague_salvage_2006,published,,reconstituted,,,lissarrague_salvage_2006,,,,1039,1 reconstituted only,8 to check,184,Hunter-River_39502_augmented_Lissarrague_2006.xml,Lissarrague 2006,,Lissarrague 2006,lissarrague_salvage_2006,39502,FALSE,,,1,PAL,0,1,P,0,3,1,0,0,,
wori1245,,Worimi,Pama-Nyungan | Yuin-Kuri | Kuri | Katthang,Katthang,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Katthang,Katthang,,152.095348,-31.910776,,,self,,lissarrague_grammar_2010,published,,reconstituted,,,lissarrague_grammar_2010,Palatal and dental places of articulation are normalized as contrastive.,,,1028,1 reconstituted only,8 to check,185,Gathang_109315_augmented_Lissarrague_2010.xml,Lissarrague 2010,,Lissarrague 2010,lissarrague_grammar_2010,109315,FALSE,,,1,PAL,0,1,P,0,3,2,0,0,,
ngan1296,,Nganyaywana,Pama-Nyungan | Yuin-Kuri | Kuri | Nganyaywana,Nganyaywana,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Nganyaywana,,,151.70898,-30.573615,,Wafer+2008:683-688,self,,wafer_handbook_2008,published,,reconstituted,{},,wafer_handbook_2008,,,,896,1 reconstituted only,8 to check,,Nganyaywana_304484_augmented_Crowley_1976.xml,,,Crowley 1976,crowley_phonological_1976,304484,FALSE,,,1,PAL,0,1,0,0,3,1,0,0,,
dyan1250,,Dyangadi,Pama-Nyungan | Yuin-Kuri | Kuri | Thanggati,Thanggati,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Thanggatti,Thanggatti,,152.456185,-30.926369,,,self,,<unidentified original source>,unknown,,reconstituted,,CHIRILA/not_released/Liss-ms,lissarrague_dhanggati_2007,,,,399,1 reconstituted only,8 to check,71,Dhanggati_100448_augmented_Lissarrague_2007.xml,Lissarrague 2007,,Lissarrague 2007,lissarrague_dhanggati_2007,100448,FALSE,,,1,DENT,0,1,D,0,3,2,0,0,,
thur1254,,Thurawal,Pama-Nyungan | Yuin-Kuri | Yuin | Dharawal,Dharawal,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Dharawal,Dharawal,,150.636698,-34.376188,,,self,,besold_language_2012,online,https://openresearch-repository.anu.edu.au/handle/1885/10133,reconstituted,{},,besold_language_2012,,,,991,1 reconstituted only,8 to check,303,NSW-South-Coast_318239_augmented_Besold_2012.xml,Besold 2012,,Besold 2012,besold_language_2012,318239,TRUE,,,2,2,0,1,D,0,3,2,0,0,,
0000dharumba,thur1254,Thurawal,Pama-Nyungan | Yuin-Kuri | Yuin | Dharumba,Dharumba,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,,,,,,,Wafer+2008:610-611,self,,besold_language_2012,online,https://openresearch-repository.anu.edu.au/handle/1885/10133,reconstituted,{},,besold_language_2012,,,,992,1 reconstituted only,8 to check,306,NSW-South-Coast_318239_augmented_Besold_2012.xml,Besold 2012,,Besold 2012,besold_language_2012,318239,TRUE,,,2,2,0,1,D,0,3,2,0,0,,
dhur1239,,Dhurga,Pama-Nyungan | Yuin-Kuri | Yuin | Dhurga,Dhurga,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Dhurga,Dhurga,,150.126129,-35.454621,,,self,,besold_language_2012,online,https://openresearch-repository.anu.edu.au/handle/1885/10133,reconstituted,{},,besold_language_2012,,,,993,1 reconstituted only,8 to check,304,NSW-South-Coast_318239_augmented_Besold_2012.xml,Besold 2012,,Besold 2012,besold_language_2012,318239,TRUE,,,2,2,0,1,D,0,3,2,0,0,,
0000djirringany,sout2771,Southern Coastal Yuin,Pama-Nyungan | Yuin-Kuri | Yuin | Djirringany,Djirringany,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,,,,149.769585,-36.474135,Bseold 2013,Wafer+2008:601-605,0000ngarigu,temp; else 0000thawa Geographic proximity,,,,,,,,,,,,-1 under 150w,-1 under 150w,305,NSW-South-Coast_318239_augmented_Besold_2012.xml,Besold 2012,,Besold 2012,besold_language_2012,318239,TRUE,,,2,2,0,1,D,0,3,2,0,0,,
gund1248,,Gundungurra,Pama-Nyungan | Yuin-Kuri | Yuin | Gundungurra,Gundungurra,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Gundungurra,Gundungurra,,149.671006,-34.540524,,Wafer+2008:568-569,sout2770,sout2770 Geographic proximity,,,,,,,,,,,,-1 under 150w,-1 under 150w,,NSW-South-Coast_318239_augmented_Besold_2012.xml,,,Besold 2012,besold_language_2012,318239,TRUE,,,2,2,0,1,D,0,3,2,0,0,,
ngar1297,,Ngarigu,Pama-Nyungan | Yuin-Kuri | Yuin | Ngarigu,Ngarigu,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Ngarigu,Ngarigu,,148.78514,-36.468812,,Wafer+2008:577-586,self,,wafer_handbook_2008,published,,reconstituted,{},,wafer_handbook_2008,,,,908,1 reconstituted only,8 to check,166,,Hercus 1986,,Hercus 1986,hercus_victorian_1986,87541,FALSE,,,2,2,0,1,RD,0,3,1,0,NAS_RET;NAS_DENT;RHO_GLIDE_RET,,
ngun1277,,Ngunawal,Pama-Nyungan | Yuin-Kuri | Yuin | Ngunawal,Ngunawal,PN Southeast,PN Southeast,PN Yuin-Kuri,Pama-Nyungan,_other,_other,_other,Yuin-Kuri,,Ngunawal,Ngunawal,,148.798816,-35.452149,,Wafer+2008:570-576,self,,wafer_handbook_2008,published,,reconstituted,{},,wafer_handbook_2008,,,,909,1 reconstituted only,8 to check,,NSW-South-Coast_318239_augmented_Besold_2012.xml,,,Besold 2012,besold_language_2012,318239,TRUE,,,2,2,0,1,D,0,3,2,0,0,,
