# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 20:44:44 BST 2019 [seed=666]
# -overwrite -seed 666 testConstantPopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.logPopSize	N0	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-29549.012465750653	-66.31761135987776	-29482.694854390775	38.24433357477495	1955.755666425225	50.41177924063233	0.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-29482.694854390775	0.0	-16.301040509871523
1000	-4840.5816798578735	-20.38185076595626	-4820.199829091917	38.01866402659893	1955.981335973401	53.5550167986819	-0.26496827589449423	0.7672302892844267	7.026153854042624	0.25624481097594987	0.2387763297382392	0.23886565338092358	0.26611320590488746	0.012977682933790587	0.012977682933790593	-4820.199829091917	0.0	-20.73449705949705
2000	-4036.0863132688437	-50.253074111118586	-3985.833239157725	47.096544365275506	1946.9034556347244	118.23406384256882	1.9656906331709987	7.139841899441701	11.355384382057338	0.2627591240303734	0.22365977207867496	0.25602890438738013	0.25755219950357167	0.0019066617634796424	0.0019066617634796422	-3985.833239157725	0.0	-49.6878014119952
3000	-3944.3252335971947	-63.70934097705542	-3880.615892620139	53.06865171960462	1940.9313482803955	170.43914193512236	2.3422810566209815	10.404943779599755	12.809071975083373	0.2971212913140073	0.21669812475175126	0.25416711330509056	0.23201347062915104	0.0014224021353106265	0.0014224021353106265	-3880.615892620139	0.0	-62.40992874119576
4000	-3937.3134311202452	-73.14563413516947	-3864.1677969850757	52.236963253440585	1941.7630367465595	190.5225197651819	3.6615420071406706	38.92131356527213	19.196997757785834	0.2712931371303676	0.226479633991041	0.26301281066730176	0.2392144182112897	0.001126587340555148	0.0011265873405551482	-3864.1677969850757	0.0	-67.22759518581427
5000	-3925.0008708747528	-71.1672019994818	-3853.833668875271	60.87093491686556	1933.1290650831345	220.15434015124623	2.804219372353232	16.514179448010903	16.73561578758263	0.2762855848017252	0.20430905431719038	0.26886282150244684	0.2505425393786377	0.0010373524023548004	0.0010373524023548004	-3853.833668875271	0.0	-68.42343869567551
6000	-3926.4517517771155	-75.33084637725756	-3851.1209053998577	63.704236047752666	1930.2957639522474	254.55484800923642	3.3557091114160773	28.66592431942482	16.630171892940517	0.28669539935523364	0.2155979739398953	0.2653992650094461	0.23230736169542504	8.397906897491295E-4	8.397906897491295E-4	-3851.1209053998577	0.0	-71.09501001004956
7000	-3927.7508618262473	-72.65563703111309	-3855.095224795134	65.81523168360167	1928.1847683163983	248.30660572784308	3.2442927066287814	25.643566120109217	14.207515721322624	0.28577399222467526	0.20344787718533475	0.24757077247326137	0.2632073581167287	8.959691311965538E-4	8.959691311965537E-4	-3855.095224795134	0.0	-69.06599481558719
8000	-3921.891112457938	-75.05405832035228	-3846.8370541375857	64.5939740260527	1929.4060259739472	247.27475968171296	3.6491038203643775	38.44020128244925	13.15814088040224	0.27660506175462557	0.21678271346094277	0.2569482051447652	0.2496640196396665	9.456730988371229E-4	9.456730988371229E-4	-3846.8370541375857	0.0	-70.1847697042075
9000	-3925.2354366648065	-75.44533070886119	-3849.7901059559454	66.70409419608546	1927.2959058039146	259.41949718186373	3.002896762569945	20.143804307388216	20.29872886454526	0.2810743460199772	0.2144411232786894	0.26826792815991346	0.23621660254141993	7.798108595215664E-4	7.798108595215661E-4	-3849.7901059559454	0.0	-71.94605626625217
