# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 19:27:11 BST 2019 [seed=666]
# -overwrite -seed 666 testExponentialPopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.logPopSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-29549.70561293121	-67.0107585404377	-29482.694854390775	38.24433357477495	1955.755666425225	50.41177924063233	0.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-29482.694854390775	0.0	-16.301040509871523
1000	-4995.637676119338	-16.000159535779378	-4979.637516583559	38.020082359120416	1955.9799176408796	48.5780872022457	-0.2051388021534284	-0.0051001928200749	18.30635692810165	0.25938265114045844	0.22308244739706062	0.2502197738993632	0.26731512756311776	0.015505720257973492	0.015505720257973494	-4979.637516583559	0.0	-13.639587081339924
2000	-4054.639023525217	-49.90761269723453	-4004.7314108279825	44.26414414401843	1949.7358558559815	109.20670452781954	1.9341399093871157	-0.0011573034162759566	13.239857378513253	0.24422216392268367	0.2315513935455188	0.26515058470033287	0.2590758578314647	0.002059311650895316	0.002059311650895315	-4004.7314108279825	0.0	-48.33030477351892
3000	-3962.572785740181	-59.90876016352808	-3902.6640255766533	49.895686824318645	1944.1043131756815	149.32374398003117	2.0395609477909105	-0.03211012095834387	13.751111460853664	0.27505273401764496	0.22497905662276024	0.25674030701863265	0.24322790234096223	0.001542719532616098	0.001542719532616098	-3902.6640255766533	0.0	-58.30968137958325
4000	-3965.824212734394	-63.17237974928013	-3902.651832985114	53.48148049629742	1940.5185195037025	168.1479160126998	1.9157933401040665	-0.03211012095834387	17.059231898626642	0.27159366412752145	0.22739700970768326	0.24285245990984097	0.2581568662549543	0.0012864765766702397	0.0012864765766702397	-3902.651832985114	0.0	-61.52820107771484
5000	-3935.8786654240735	-64.6383174871979	-3871.2403479368754	50.426709845492724	1943.5732901545073	173.97114232073667	1.7847853517201024	-0.03211012095834387	13.28751372978013	0.28000432984277224	0.20921274206943624	0.23722592486001143	0.27355700322778015	0.0011716809332918058	0.0011716809332918056	-3871.2403479368754	0.0	-63.83637980325847
6000	-3931.547208401213	-71.05961044556528	-3860.4875979556477	58.728404500515374	1935.2715954994846	217.1956767824753	2.139876745717187	-0.03211012095834387	14.46879258222081	0.284445936711022	0.22088811815619014	0.24330439609904814	0.2513615490337398	0.0010211820093305964	0.0010211820093305964	-3860.4875979556477	0.0	-69.54861642357197
7000	-3917.5731719762325	-69.94436384868602	-3847.6288081275466	58.75796271637301	1935.242037283627	213.98001100396084	2.480355058946124	-0.03211012095834387	15.564101636766512	0.2802309767716638	0.2191558877264288	0.2492710405754819	0.2513420949264254	9.620085837436373E-4	9.62008583743637E-4	-3847.6288081275466	0.0	-67.53239580698317
8000	-3924.2255822517086	-71.13932064804617	-3853.0862616036625	59.58175580630814	1934.4182441936919	220.52931173006655	2.0172952085696565	-0.05195272877398005	12.620385060352715	0.28663717847051473	0.22986937287414408	0.23195770218738715	0.2515357464679539	0.0010405643917119056	0.0010405643917119056	-3853.0862616036625	0.0	-70.13077778960776
9000	-3921.907287471905	-71.52717916729233	-3850.380108304613	68.66978702650773	1925.3302129734923	243.52501398070274	2.3111820134663255	-0.027512296085971055	19.66958286485446	0.26254751877369714	0.23059721920887447	0.24826205429042195	0.2585932077270063	9.403156462133806E-4	9.403156462133806E-4	-3850.380108304613	0.0	-69.0649518283194
10000	-3927.7146417068257	-72.83764628114999	-3854.876995425676	59.8588286854663	1934.1411713145337	233.547103429073	2.341906547282341	-0.02124859968302517	14.308860852611328	0.2878467159703603	0.2372088035389303	0.24189329206975044	0.23305118842095873	9.208912862853875E-4	9.208912862853873E-4	-3854.876995425676	0.0	-71.00246088820516
11000	-3931.454834019844	-76.44483174911971	-3855.0100022707243	71.91425704175855	1922.0857429582416	264.3961632602814	2.431876287188394	-0.013716892497329658	15.462085373127607	0.2634966950845553	0.21212691573725315	0.26119124128625676	0.2631851478919346	7.871626052867093E-4	7.871626052867091E-4	-3855.0100022707243	0.0	-74.38803794866713
12000	-3922.9937850459296	-76.75901116601295	-3846.2347738799167	71.97787366154357	1922.0221263384565	281.1410973661132	3.2897646672200924	-0.013716892497329658	13.656572736562685	0.2752721564609987	0.215680562949284	0.25540393513795867	0.25364334545175843	7.694672307759129E-4	7.694672307759128E-4	-3846.2347738799167	0.0	-72.53920291993433
13000	-3925.124605057678	-73.87765697988806	-3851.24694807779	74.48606798326077	1919.5139320167393	267.675063851074	2.8738990036663816	-0.013716892497329658	20.189418203490764	0.27848427354923	0.21085190336783738	0.2466692724355478	0.2639945506473846	7.575796750327468E-4	7.575796750327466E-4	-3851.24694807779	0.0	-70.09254154679503
14000	-3937.3578981574024	-79.0484878388864	-3858.309410318516	75.82019032342697	1918.179809676573	298.3105600783027	3.101354867612223	-0.013716892497329658	16.731481723279032	0.28417836444241046	0.21541388730717365	0.2576739055102047	0.24273384274021095	8.133678354015665E-4	8.133678354015663E-4	-3858.309410318516	0.0	-74.9802833159449
15000	-3925.3591931577057	-77.54905280251391	-3847.810140355192	66.4553983107119	1927.5446016892881	272.7121245640753	3.077297515452018	-0.013716892497329658	24.596313601443846	0.2883009830828582	0.20287912282850068	0.25060533492134573	0.2582145591672952	7.744443007737299E-4	7.744443007737301E-4	-3847.810140355192	0.0	-72.68531835413839
16000	-3932.475516309983	-79.1928747065244	-3853.2826416034586	69.75083341131688	1924.2491665886832	284.07638768098343	3.2881167387909267	-0.014448712621267346	29.327533230582674	0.27845108216581427	0.20976955619046345	0.2468476198428064	0.26493174180091567	8.672172868731745E-4	8.672172868731745E-4	-3853.2826416034586	0.0	-73.15228155244918
