# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Oct 27 10:05:04 AEST 2020 [seed=1603757075952]
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	tmrca(KanyaraMantharta)	tmrca(Kartu)	tmrca(Marrngu)	tmrca(Ngayarta)	tmrca(NgumpinYapa)	tmrca(SouthWest)	tmrca(ThuraYura)	tmrca(Wati)	birthDeath.meanGrowthRate	birthDeath.relativeDeathRate	birthDeath.sampleProbability	bcov.alpha	bcov.s	frequencies1	frequencies2	hfrequencies1	hfrequencies2	bcov.alpha.2	bcov.s.2	frequencies.21	frequencies.22	hfrequencies.21	hfrequencies.22	alpha	WPN_cognates_2020-10-12.ucld.mean	WPN_cognates_2020-10-12.ucld.stdev	biphone_binary_2020-10-12.ucld.mean	biphone_binary_2020-10-12.ucld.stdev	WPN_cognates_2020-10-12.meanRate	WPN_cognates_2020-10-12.coefficientOfVariation	WPN_cognates_2020-10-12.covariance	biphone_binary_2020-10-12.meanRate	biphone_binary_2020-10-12.coefficientOfVariation	biphone_binary_2020-10-12.covariance	WPN_cognates_2020-10-12.treeLikelihood	biphone_binary_2020-10-12.treeLikelihood	WPN_cognates_2020-10-12.branchRates	biphone_binary_2020-10-12.branchRates	speciation
100000	-22228.14831680004	-1040.2867633595304	-21187.86155344051	6907.761972524814	118142.36186770337	2801.620227612011	4104.837966065773	2387.930428346247	3787.0037944385303	2450.2699871462505	1921.4538693161649	3939.2037198674057	3134.386249029889	5.086167241826048E-4	0.0	0.537	0.1913450837623817	0.13838863887824168	0.8940481986004851	0.10595180139951446	0.5	0.5	8.089047470163986E-5	0.15915390649697767	0.6671741165129718	0.332825883487028	0.5	0.5	0.3568281030192882	7.89104130757387E-5	2.770084326913105E-4	8.72026005707852E-5	1.586682551433792E-4	6.291288937243114E-5	1.690689963273264	0.015001928805141129	4.065208420344463E-5	1.198815187492366	0.04422714730038031	-11297.876268912583	-4697.838328111615	-383.0738674778016	-383.0738674778016	-380.09802417024616
110000	-22239.0863893218	-1042.6789171245634	-21196.40747219724	6962.280445701104	121779.3586031638	2892.1265937107864	3960.8830747039588	2484.737926708868	3646.23714288201	2575.0151299950307	2425.039046046783	4080.3653165189808	3061.608235759086	4.519677252529478E-4	0.0	0.537	0.19862992539287047	0.2048303911622031	0.8981908910445625	0.10180910895543725	0.5	0.5	0.005681986278221179	0.14618901964894027	0.6575935378473469	0.3424064621526529	0.5	0.5	0.2943779148104528	8.043906182649078E-5	3.049557288191023E-4	1.1201490123487643E-4	2.2529174087261653E-4	6.0977452527529984E-5	1.765254256750703	0.030627521603395474	5.225426451478969E-5	1.2057586406231404	0.1434456921692809	-11297.511413667457	-4716.893017947248	-383.0738674778016	-383.0738674778016	-381.4731663936602
120000	-22220.636448158344	-1041.2499566019123	-21179.386491556434	6857.597912436678	125225.94933105614	3113.604942916509	4641.196371127285	2571.7233633956707	3712.3359855415665	2497.1545166246037	2157.695819088414	3899.034506892863	3106.2499521648324	4.122008630876928E-4	0.0	0.537	0.2471055190678821	0.15318519206928735	0.8960475469988742	0.10395245300112549	0.5	0.5	0.007578043525214686	0.13639443027639775	0.6581867872622056	0.34181321273779425	0.5	0.5	0.36015981372867584	8.535125482671044E-5	3.2651655171921876E-4	8.715090862406496E-5	1.6160443791380768E-4	5.7895949571642075E-5	1.8266172921938348	0.019625149150387714	4.100827855186014E-5	1.4353661225203553	0.07792255469541814	-11280.38369226133	-4709.262859905703	-383.0738674778016	-383.0738674778016	-383.18737201580626
130000	-22210.78515310117	-1043.0112529881844	-21167.773900112985	6941.784498509578	126389.2808626127	3434.088850443055	4528.309187416782	2482.283069489504	3650.129242265175	2541.796009796099	2371.64669594514	3742.385618542696	3060.936148505149	5.922878184603563E-4	0.0	0.537	0.19494452881940275	0.18448955193235508	0.8997891122501345	0.10021088774986527	0.5	0.5	9.009527804629556E-4	0.17986337969845195	0.6934531476146957	0.3065468523853041	0.5	0.5	0.33731721004817894	9.079425759232671E-5	3.2681969635936167E-4	5.146437906188347E-5	7.38784384361143E-5	5.689887788375354E-5	2.116596702103109	-0.08005539251800155	3.153391061743473E-5	1.1815728996377126	0.040629820969774647	-11289.641729505885	-4708.388212022068	-383.0738674778016	-383.0738674778016	-384.1073181064762
140000	-22260.176728144215	-1046.1046521224093	-21214.072076021806	6931.650315973052	127669.8849532598	3210.582418309188	4233.416248496917	2648.022874951599	3749.188152722535	2616.118978739778	2540.746292770282	3837.3594373724495	3100.9818222075587	3.1229461970914507E-4	0.0	0.537	0.1881155097486695	0.1710163210088267	0.8993234887360051	0.10067651126399466	0.5	0.5	2.483345867434344E-4	0.1669076848949202	0.6507902940867246	0.3492097059132752	0.5	0.5	0.36114997698610163	9.820994139867988E-5	3.8105379107164153E-4	7.031036643742902E-5	1.4526309439252106E-4	5.8120219767670614E-5	2.2035784781126773	-0.07873240956231146	3.863313370517018E-5	1.3937090318425733	0.09568776278511235	-11279.900910783237	-4717.552441618034	-383.0738674778016	-383.0738674778016	-387.82839908920556
150000	-22215.056625093384	-1040.1179620923542	-21174.93866300103	6702.444556303825	127908.45909611876	3145.7934382194817	4873.152013028266	2790.8166023617255	4247.102449598657	2708.6659874227203	1652.0765440711853	3750.69719795911	3236.584592354109	5.076907386782455E-4	0.0	0.537	0.20954112095446245	0.1673486026050081	0.9003734651169815	0.0996265348830181	0.5	0.5	0.0045036916754837885	0.12752460351889716	0.6652318507547504	0.3347681492452493	0.5	0.5	0.27830913799513834	8.87082839240522E-5	2.5050945127449146E-4	6.78578537656948E-5	1.358897811605495E-4	5.806958815649432E-5	1.9975845704820474	-0.1183587286392085	3.924972478395215E-5	1.20216660344544	0.06604626204578788	-11286.868863986369	-4705.819289087955	-383.0738674778016	-383.0738674778016	-383.4683543341877
160000	-22185.918426772092	-1045.229692718071	-21140.68873405402	6989.244873719376	122266.7287472088	2696.494112916877	4671.605115000552	2282.7955619607133	4031.7478785614007	2558.80054159917	2018.3206485340222	3284.543618395181	3023.9021179099723	4.1643913346704634E-4	0.0	0.537	0.2356621368824333	0.1513940720827575	0.8992871797226424	0.10071282027735733	0.5	0.5	1.307759454635993E-4	0.10455667401547042	0.6664183991026216	0.3335816008973781	0.5	0.5	0.3179872618232756	8.710678480826341E-5	2.2629419698184857E-4	7.97724708742785E-5	1.4926074728163156E-4	5.7231510876256834E-5	1.8180554301250387	-0.07810707318868058	5.079741147815805E-5	1.1730957116744858	0.09378052473054023	-11273.336746721652	-4701.410193884348	-383.0738674778016	-383.0738674778016	-382.3878122337711
170000	-22180.75714295962	-1041.1226009343331	-21139.634542025287	6939.530545284331	120274.65638701322	2608.1255943768897	3934.8162497059106	2371.6774397188055	4018.092923194992	2508.6659733279257	1833.4091606471657	3225.7791127053706	3136.4711198551363	4.714095633127312E-4	0.0	0.537	0.17479841385110834	0.18423997333121583	0.8982109167358874	0.10178908326411233	0.5	0.5	0.003729585029845927	0.12776331774874733	0.6489018315975377	0.3510981684024619	0.5	0.5	0.35548909218064323	9.27478421083554E-5	2.51106919643188E-4	6.902454710076638E-5	1.534245525881836E-4	6.067438850049907E-5	1.8044918604217806	-0.025316062873913546	4.269963866412408E-5	1.1890196286507027	0.017188548298895993	-11277.253960734797	-4699.420385887896	-383.0738674778016	-383.0738674778016	-381.01762782870554
180000	-22187.65476099648	-1042.98413655783	-21144.67062443865	6940.633747649523	120260.7583003041	2698.0669464703724	4303.8394951309465	2371.359491555442	3997.5762730184724	2714.522490572963	2075.5780383758997	3426.9267279759565	3037.4931213244936	4.138180701654186E-4	0.0	0.537	0.24126916953064098	0.13505043540621672	0.8975359419900225	0.10246405800997739	0.5	0.5	0.001280782816185809	0.15395265940240216	0.6758245167825366	0.3241754832174628	0.5	0.5	0.35481589675461295	9.036496439443423E-5	1.9872990545117107E-4	6.922186019513227E-5	1.4237768117082212E-4	6.221057950592785E-5	1.769467811384999	-0.1134559672676596	3.921777669988238E-5	1.1943476431700482	0.024039208346160676	-11286.410889009445	-4689.71562318193	-383.0738674778016	-383.0738674778016	-381.9813948502837
190000	-22171.72532154666	-1042.285342955377	-21129.439978591283	6930.6443948165315	122271.79777024238	2882.703197523848	4391.603246981181	2441.893750647569	3762.8507406525027	2550.3820848811897	2053.8213396552987	3610.6375195810683	3050.283216128364	5.267131754834943E-4	0.0	0.537	0.261056324118528	0.13736981725586914	0.8968430583442697	0.10315694165573032	0.5	0.5	0.0012606861694223345	0.22041253175184153	0.6746873233466393	0.3253126766533603	0.5	0.5	0.3600797838688483	8.80505138533318E-5	2.2604892052037665E-4	5.729245806458667E-5	9.126601347360596E-5	5.616910721578343E-5	1.846239348989267	-0.11052744973775606	3.4282234702354524E-5	1.0567980206222358	-0.016292514448016934	-11272.516446500433	-4696.214319060298	-383.0738674778016	-383.0738674778016	-381.6391544848228
200000	-22191.305523040668	-1037.0131368865332	-21154.292386154135	6872.4858907269145	122730.51882328617	3079.6342959896533	4169.951874432088	2440.0538704017345	3971.0027782367993	2843.0178216565328	2354.457496599948	3594.1850496859215	3099.712786844464	4.677171446423691E-4	0.0	0.537	0.20302436327061377	0.110821496381387	0.8952782260322575	0.10472177396774252	0.5	0.5	0.005669200916439057	0.1660268769770142	0.657992792304011	0.3420072076959884	0.5	0.5	0.3554709995542747	8.920702866198419E-5	2.102872824832385E-4	7.711762915816844E-5	2.001543536316435E-4	5.902691572278266E-5	1.836388382567697	-0.1310612776692998	3.7825371230507175E-5	1.4725733075368272	0.11914358690701647	-11285.49578358478	-4698.561751784669	-383.0738674778016	-383.0738674778016	-381.6442089173994
