PathParameter	MeanPathLikelihood	MLContribution
0.0000	-38025	21.153
2.1715e-06	1.9521e+07	398.25
2.1888e-05	2.0878e+07	1308.5
8.4561e-05	2.0878e+07	2840.5
0.00022061	2.0878e+07	5084.8
0.00046416	2.0878e+07	8104.3
0.00085232	2.0879e+07	8667.8
0.0014248	9.4021e+06	3748.3
0.0022237	-17668	-18.721
0.0032929	-17349	-23.881
0.0046784	-17122	-29.824
0.0064280	-16971	-36.596
0.0085909	-16869	-44.232
0.011218	-16806	-52.729
0.014361	-16744	-62.000
0.018075	-16649	-72.101
0.022413	-16590	-83.199
0.027432	-16561	-94.494
0.033190	-16262	-105.86
0.039745	-16038	-118.27
0.047156	-15880	-131.75
0.055484	-15761	-145.90
0.064790	-15593	-160.60
0.075138	-15448	-176.43
0.086591	-15363	-193.21
0.099213	-15252	-210.64
0.11307	-15151	-228.90
0.12823	-15052	-248.09
0.14475	-14973	-267.95
0.16271	-14862	-288.42
0.18218	-14769	-310.05
0.20322	-14701	-332.63
0.22591	-14623	-355.99
0.25031	-14554	-380.75
0.27650	-14522	-406.73
0.30455	-14478	-433.29
0.33454	-14424	-460.86
0.36653	-14387	-489.87
0.40060	-14366	-519.90
0.43683	-14333	-550.77
0.47530	-14304	-582.78
0.51608	-14280	-616.16
0.55924	-14270	-650.73
0.60487	-14252	-685.96
0.65304	-14226	-722.31
0.70384	-14213	-759.95
0.75734	-14196	-798.67
0.81363	-14184	-838.10
0.87278	-14155	-878.41
0.93488	-14137	-920.53
1.0000	-14133	

log marginal likelihood (using path sampling) from pathLikelihood.delta = 15685.316643612812

Inner area for path parameter in (2.1715e-06,0.93488) = 15664
PathParameter	MaxPathLikelihood	MLContribution
0.0000	-30421	-0.082571
2.1715e-06	2.0879e+07	410.65
2.1888e-05	2.0879e+07	1308.5
8.4561e-05	2.0879e+07	2840.5
0.00022061	2.0879e+07	5084.8
0.00046416	2.0879e+07	8104.3
0.00085232	2.0879e+07	11953
0.0014248	2.0879e+07	16677
0.0022237	-16782	-18.716
0.0032929	-16726	-23.897
0.0046784	-16736	-29.870
0.0064280	-16552	-36.625
0.0085909	-16619	-44.238
0.011218	-16557	-52.714
0.014361	-16457	-62.050
0.018075	-16345	-72.065
0.022413	-16362	-83.117
0.027432	-16308	-95.161
0.033190	-15760	-105.67
0.039745	-15773	-118.30
0.047156	-15598	-131.73
0.055484	-15506	-146.17
0.064790	-15335	-160.69
0.075138	-15212	-176.27
0.086591	-15141	-193.24
0.099213	-15081	-210.77
0.11307	-14997	-229.07
0.12823	-14965	-248.40
0.14475	-14829	-268.11
0.16271	-14722	-288.67
0.18218	-14659	-309.95
0.20322	-14588	-332.63
0.22591	-14548	-356.42
0.25031	-14474	-380.72
0.27650	-14443	-406.76
0.30455	-14388	-433.43
0.33454	-14341	-460.76
0.36653	-14322	-489.81
0.40060	-14318	-520.07
0.43683	-14268	-550.87
0.47530	-14257	-582.92
0.51608	-14234	-615.90
0.55924	-14214	-650.63
0.60487	-14207	-686.17
0.65304	-14182	-722.19
0.70384	-14171	-759.94
0.75734	-14165	-798.66
0.81363	-14149	-838.44
0.87278	-14134	-878.66
0.93488	-14115	-920.44
1.0000	-14100	

log marginal likelihood (using stepping stone sampling) from pathLikelihood.delta = 31888.09811680103
