# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon May 13 20:56:03 BST 2019 [seed=666]
# -overwrite -seed 666 testPiecewisePopulationSizeModel.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	piecewise.logPopSize	N0	piecewise.growthRate1	piecewise.growthRate2	transitionTimes	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-29578.66730374547	-95.97244935469726	-29482.694854390775	38.24433357477495	1955.755666425225	50.41177924063233	1.0	2.718281828459045	0.0	0.0	20.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	1.0	1.0	-29482.694854390775	0.0	-44.06958414357112
1000	-5741.201995191233	-17.961336399989467	-5723.240658791244	38.001282398658375	1955.9987176013417	44.84933036367516	0.8576877499002789	2.3577027876097985	0.10806547993979665	-0.19848240173190823	20.0	9.001259304739715	0.27853585715169465	0.2266903362296561	0.23439584131757796	0.2603779653010713	0.03222163998522545	0.03222163998522545	-5723.240658791244	0.0	-14.577005139961964
2000	-4108.656507250162	-63.120188655438454	-4045.536318594723	41.86090213619422	1952.1390978638058	103.91379290638066	0.12885594649257565	1.1375262477167554	0.006090377576901451	-0.12475335547357846	20.0	10.636711194738833	0.2767208987984482	0.21245481637922858	0.25050781645670167	0.26031646836562156	0.0022237370063425865	0.0022237370063425865	-4045.536318594723	0.0	-62.938167622835124
3000	-3961.9171123496653	-72.64607553090718	-3889.271036818758	48.82178170359751	1945.1782182964025	153.41599898678012	0.6099748773412995	1.8403851628325316	-0.06207210542141639	-0.12475335547357846	20.0	16.595068245707278	0.3060570738763594	0.20387577211419042	0.2533481408116294	0.23671901319782085	0.0015253322333184972	0.0015253322333184966	-3889.271036818758	0.0	-71.71421098922981
4000	-3939.5621814255687	-79.24249555843875	-3860.31968586713	53.92180466787065	1940.0781953321293	187.3418309274176	1.5606551983614876	4.761940238688434	-0.10384599227412794	-0.12475335547357846	20.0	13.963253818453985	0.27083627503669583	0.20671642447334201	0.25786028848456094	0.26458701200540125	0.00123661721857791	0.0012366172185779105	-3860.31968586713	0.0	-77.80728132947985
5000	-3939.9874825020656	-80.38550386027967	-3859.601978641786	57.23550570636964	1936.7644942936304	206.42264899698907	0.915070875611918	2.496952218649928	-0.12274163284016848	-0.10761977009828128	20.0	10.720691689403987	0.2859450635804544	0.19793987704340396	0.25870238731730827	0.2574126720588334	0.001082356544896634	0.001082356544896634	-3859.601978641786	0.0	-80.38969911601056
6000	-3937.802581609705	-78.6833617664854	-3859.11921984322	56.663138776559286	1937.3368612234408	201.38553550669494	0.3301870372414449	1.3912283156370528	-0.12274163284016848	-0.09538125600593328	20.0	26.91317639233825	0.2908888070186834	0.2100405332977621	0.2419772547267589	0.2570934049567956	0.0011000784977022971	0.0011000784977022971	-3859.11921984322	0.0	-77.04550004896862
7000	-3933.25004786672	-84.92266071460169	-3848.3273871521183	62.3847110532092	1931.6152889467908	235.57047450072423	0.7283426188476425	2.0716442566436695	-0.09409998434314226	-0.11659357207228327	20.0	17.199933522360464	0.28414658400530013	0.2189822470809852	0.2454115075167564	0.2514596613969583	9.638135454528464E-4	9.638135454528466E-4	-3848.3273871521183	0.0	-84.26098865949712
8000	-3940.7495674433494	-85.99874088217179	-3854.7508265611777	68.38058350348246	1925.6194164965175	248.02206762948606	0.8237474172026767	2.279024310083933	-0.09409998434314226	-0.11659357207228327	20.0	15.659259205796552	0.2945127653747379	0.21649868990246843	0.24335497278292983	0.24563357193986388	9.6072423825386E-4	9.6072423825386E-4	-3854.7508265611777	0.0	-85.48098397497616
9000	-3940.5519280205067	-86.50896121586253	-3854.042966804644	64.89206674503903	1929.107933254961	235.52159535891604	0.7379437519681675	2.0916301791534675	-0.09409998434314226	-0.07818235300353082	20.0	22.166173506719346	0.30642793540476	0.21571385398048587	0.25454148098283375	0.2233167296319204	9.273593532468696E-4	9.273593532468697E-4	-3854.042966804644	0.0	-85.33270812569474
10000	-3932.7241570910574	-80.81468139833008	-3851.9094756927275	56.81593031260845	1937.1840696873915	215.41765552550584	1.1057419696448978	3.021465472989285	-0.1382342809519419	-0.07818235300353082	20.0	16.87984719294238	0.29434988911714843	0.22292383016458409	0.2539083509037933	0.22881792981447419	0.0010510910820618388	0.001051091082061839	-3851.9094756927275	0.0	-79.7546112034028
11000	-3943.6622163144825	-82.02473706532085	-3861.6374792491615	56.85364311591951	1937.1463568840804	208.66804057935357	1.6286194743125006	5.096833549757477	-0.11075315851640699	-0.074316192631253	20.0	17.125966837640203	0.27289583811774587	0.20820856601593185	0.2557713939421443	0.26312420192417807	0.0010563159017309583	0.0010563159017309585	-3861.6374792491615	0.0	-80.23729390877733
12000	-3932.1592438406315	-79.97243670749458	-3852.186807133137	56.05202163436435	1937.9479783656357	206.11176906125104	0.8327964519101324	2.299740871240991	-0.13332897490822893	-0.04316530966002552	20.0	14.201427032566729	0.26382826569127	0.22233279405604167	0.2458700574359552	0.26796888281673326	9.763487919341097E-4	9.763487919341098E-4	-3852.186807133137	0.0	-79.62198899470386
13000	-3933.1591501054304	-80.3952984260685	-3852.763851679362	60.28532066017834	1933.7146793398217	228.42752309442287	0.7098067414438108	2.0335982104139934	-0.13332897490822893	-0.056233213359268897	20.0	17.063427088075766	0.2720081228631191	0.20590549736242036	0.24940331940163005	0.2726830603728305	9.141542910688917E-4	9.141542910688917E-4	-3852.763851679362	0.0	-79.81472416569412
14000	-3931.8227324281474	-77.39086704189816	-3854.4318653862492	57.019663720667545	1936.9803362793325	196.71252877068102	0.5937391986250674	1.8107465134617573	-0.13332897490822893	-0.07434918506455257	20.0	18.989155590990126	0.28330674500617103	0.21193061734005048	0.24626591701630765	0.25849672063747087	0.0010649668047640545	0.0010649668047640547	-3854.4318653862492	0.0	-76.47976310582325
15000	-3931.3436197441038	-80.6565830753951	-3850.6870366687085	58.14333736509082	1935.856662634909	209.22867795561427	0.8263137656116183	2.2848805919116386	-0.14074804819789466	-0.05338628447122118	20.0	23.38676134110949	0.29437656606402235	0.1983855068608903	0.2431906151921108	0.2640473118829766	9.448753071539356E-4	9.448753071539355E-4	-3850.6870366687085	0.0	-79.21502107460371
16000	-3938.853831783813	-83.44426112023694	-3855.409570663576	59.79727873536004	1934.2027212646399	218.2039731120308	0.2917097334860157	1.3387143772818673	-0.17144936985713377	-0.05411810459515887	20.0	23.748262144694433	0.2995037776377303	0.21092523203245214	0.2273720967880623	0.2621988935417553	0.0010396349533515106	0.0010396349533515106	-3855.409570663576	0.0	-82.17763105726736
17000	-3938.2136934948917	-82.68016921344953	-3855.533524281442	59.32641455936662	1934.6735854406334	214.25067138395184	0.03790068791888505	1.0386280794403175	-0.17027198974655744	-0.01793365680024439	20.0	19.314830061356744	0.27742330047944813	0.2278803847025908	0.23557837494948847	0.2591179398684726	9.214883017490843E-4	9.214883017490846E-4	-3855.533524281442	0.0	-82.05294819833559
18000	-3932.3552533639454	-82.33104257762483	-3850.0242107863205	65.05628185276795	1928.943718147232	237.4219808328858	0.03994729591436105	1.0407559206577266	-0.1541616255510727	-0.03486906765443076	20.0	17.363893954529647	0.28035532347460934	0.22463816621462207	0.23505505562849913	0.25995145468226954	9.264809128108195E-4	9.264809128108196E-4	-3850.0242107863205	0.0	-81.96550422988966
19000	-3934.686034414068	-85.30285608423193	-3849.3831783298365	66.94079240415775	1927.0592075958423	260.0820015042592	0.0732610268279031	1.0760113680950745	-0.17176324607447224	-0.03492464758142577	20.0	14.289366200033912	0.27580168217767126	0.2211754678427696	0.2340741386382647	0.26894871134129456	7.731035920561084E-4	7.731035920561085E-4	-3849.3831783298365	0.0	-85.48674793057303
20000	-3938.978853896777	-87.47281916566993	-3851.506034731107	72.36000433126688	1921.639995668733	267.3192964018983	0.4968752761313544	1.6435775125899592	-0.1694353485557989	-0.029538411605692705	20.0	16.919546897705136	0.292141303050964	0.22544391425425497	0.24514030615750357	0.23727447653727757	7.98176038040103E-4	7.981760380401032E-4	-3851.506034731107	0.0	-87.17160128417963
21000	-3934.6942865492947	-87.46716358147337	-3847.2271229678213	67.0441063767636	1926.9558936232363	252.39441778693435	0.6904694332700766	1.994651669354982	-0.16455440463406878	-0.028236460455350887	20.0	16.78698531168256	0.27877996104902303	0.2019036280968743	0.25320904758766316	0.2661073632664396	8.895370078971386E-4	8.895370078971385E-4	-3847.2271229678213	0.0	-86.98018985520385
22000	-3942.9705635312544	-87.01637639732043	-3855.954187133934	72.13264980452034	1921.8673501954797	266.8513274930008	0.3323997343327418	1.3943100907444295	-0.1375463529598253	-0.07006843980723065	20.0	16.436378821927534	0.27224670784107224	0.21039121115997889	0.24840926479755215	0.2689528162013969	7.885180764491629E-4	7.885180764491627E-4	-3855.954187133934	0.0	-86.84548487891159
23000	-3937.509859189411	-85.70504703781063	-3851.8048121516003	60.68552663342889	1933.314473366571	239.194970017282	0.4421772324514559	1.556091505908372	-0.1616744437739006	-0.03166348318005019	20.0	17.470203474736497	0.27753900113095226	0.21650060969710905	0.2537839823314483	0.2521764068404907	8.194091867925345E-4	8.194091867925347E-4	-3851.8048121516003	0.0	-85.31397253092754
24000	-3937.2220435986146	-85.65465872586257	-3851.567384872752	60.726818954852355	1933.2731810451476	228.7784981337949	0.38220890355366727	1.4655182051180835	-0.15215252364737597	-0.03166348318005019	20.0	15.397832456283165	0.29109284995271595	0.20680330023414203	0.2653154527323184	0.23678839708082394	0.0010421962419469397	0.0010421962419469397	-3851.567384872752	0.0	-85.38439767811833
25000	-3936.760615783953	-84.68208212877943	-3852.078533655174	56.66842594196485	1937.3315740580351	216.48555907774534	1.9769885354721197	7.2209645305573185	-0.120783763786809	-0.11087949454590973	20.0	14.67670109752358	0.2915514134871173	0.2032168128073065	0.27108564814356173	0.23414612556201486	0.0011075440104516242	0.0011075440104516246	-3852.078533655174	0.0	-82.52388243257052
26000	-3943.584242232378	-87.70983197783151	-3855.8744102545465	58.13296674457575	1935.8670332554243	218.2504037583497	2.1082088826995604	8.233480939664235	-0.120783763786809	-0.11470769355060972	20.0	14.30954275169632	0.28935109890270116	0.20205762395014235	0.26413637443447635	0.24445490271268047	9.721172982084137E-4	9.721172982084136E-4	-3855.8744102545465	0.0	-85.42911791569966
27000	-3937.872028179744	-83.53808434141048	-3854.3339438383337	63.033197028476884	1930.966802971523	237.30610730308018	0.6601091986775752	1.9350036227023224	-0.120783763786809	-0.09105957359605465	20.0	19.328513260089796	0.26554181418670697	0.2192003092109161	0.2668256396250654	0.24843223697731182	8.988837867081624E-4	8.988837867081621E-4	-3854.3339438383337	0.0	-82.71611385689434
28000	-3934.53752914451	-88.25403990942982	-3846.28348923508	66.698552960067	1927.301447039933	251.20114166827955	0.7927390972767915	2.2094400166191592	-0.120783763786809	-0.08833473396681635	20.0	16.481837914288466	0.2822134351270779	0.20366432726718914	0.25679607339497995	0.2573261642107532	8.017735162388818E-4	8.017735162388817E-4	-3846.28348923508	0.0	-87.78718299061943
29000	-3948.651314171635	-87.92591650293538	-3860.7253976686998	66.15072688307679	1927.8492731169233	255.25903148064108	0.4135064109043603	1.512110581361825	-0.13442467119370138	-0.08833473396681635	20.0	11.761234545233712	0.3023800000234354	0.20786977020192252	0.2472298340974474	0.2425203956771949	8.740733600375093E-4	8.740733600375094E-4	-3860.7253976686998	0.0	-88.30751852866743
30000	-3943.8717895483446	-85.4020872457402	-3858.469702302604	62.51846893469354	1931.4815310653064	241.50819038433002	0.4671175146337148	1.5953888739406736	-0.13070348509013896	-0.08833473396681635	20.0	13.332520213511506	0.28859655184117267	0.21572619660650175	0.24938864560459237	0.24628860594773358	8.188954337054774E-4	8.188954337054772E-4	-3858.469702302604	0.0	-85.54608000459754
31000	-3935.1784501716043	-83.60139590968251	-3851.5770542619216	63.660564052164695	1930.3394359478352	241.146586876014	0.29668343099889605	1.3453893234720329	-0.1354313438365644	-0.04633620772518521	20.0	21.750631613202714	0.2859082340045826	0.2102079714116007	0.25903615621524384	0.24484763836857315	8.998680490211005E-4	8.998680490211005E-4	-3851.5770542619216	0.0	-82.71641564438055
32000	-3932.068201079821	-81.64841386656117	-3850.41978721326	66.58049778403458	1927.4195022159654	232.1035417489261	0.10109377208687736	1.1063803844967957	-0.1354313438365644	-0.0935166018031044	20.0	17.476251132555667	0.2740443698413698	0.21861239950184158	0.26188601623729363	0.24545721441949533	9.708602352301153E-4	9.70860235230115E-4	-3850.41978721326	0.0	-81.18443272566402
33000	-3932.090262626158	-82.73268861923698	-3849.3575740069214	64.4859731428377	1929.5140268571622	238.29518536968237	0.3889769689284364	1.475470569273464	-0.13822150405316647	-0.0542570406170757	20.0	14.758574515622932	0.2725793298975457	0.22512724459747813	0.2475851566492925	0.25470826885568393	8.708376566861892E-4	8.708376566861892E-4	-3849.3575740069214	0.0	-82.6811538462859
34000	-3934.003016799063	-83.32567945501307	-3850.67733734405	59.84301917615173	1934.1569808238482	222.76958534475244	0.3071220690302672	1.3595069116338343	-0.13822150405316647	-0.0542570406170757	20.0	17.480561226672705	0.282092461657234	0.22061261682551725	0.23900580984996142	0.2582891116672877	9.071583320507063E-4	9.071583320507059E-4	-3850.67733734405	0.0	-82.89223819262268
35000	-3931.68094984556	-82.04996838248829	-3849.6309814630717	58.887650593608655	1935.1123494063913	214.74436728702486	1.4970752401896044	4.468600356265206	-0.15465954486306588	-0.031020657250929062	20.0	17.392387363657175	0.3031682914353223	0.21321993409968304	0.24418669668900414	0.23942507777599087	0.0010709080029324878	0.0010709080029324878	-3849.6309814630717	0.0	-80.4317406397014
36000	-3933.67292175735	-83.84243761361193	-3849.8304841437384	59.6019717299371	1934.398028270063	218.3259702083136	1.0623546956658803	2.893175522685153	-0.1257319710274294	-0.11194811242646274	20.0	21.72699631934977	0.29079028621970965	0.2017766210931972	0.24135970680925398	0.2660733858778396	8.820958134828076E-4	8.820958134828079E-4	-3849.8304841437384	0.0	-82.36847206972404
37000	-3933.8314821369995	-81.16615488526388	-3852.6653272517356	60.85221557462496	1933.147784425375	215.19964034594108	1.2506911910736662	3.492756285297322	-0.1257319710274294	-0.08308285988408515	20.0	23.788505456631924	0.2960693002304401	0.20617288474425494	0.23496635748932274	0.2627914575359826	9.511551219684817E-4	9.511551219684817E-4	-3852.6653272517356	0.0	-79.23237377405631
38000	-3934.2014643166904	-81.22846168861615	-3852.973002628074	59.07848208735093	1934.921517912649	211.5022407674416	1.9070026031655163	6.732877417440671	-0.1177477506269764	-0.08308285988408515	20.0	22.38802354859058	0.2955101658397527	0.19539971276155432	0.23590106008463918	0.2731890613140541	0.0010233027961830665	0.001023302796183067	-3852.973002628074	0.0	-78.35321948242284
39000	-3941.603019436765	-84.16332647771699	-3857.439692959048	59.714719602407904	1934.285280397592	232.22361222186774	1.3644864480818195	3.9137126411776575	-0.142691748032294	-0.038100176486384196	20.0	19.82965517649311	0.2677113911663237	0.2173496174721481	0.23901330699210627	0.2759256843694223	9.329733356060289E-4	9.329733356060288E-4	-3857.439692959048	0.0	-82.56864166772863
40000	-3932.4095352149616	-88.17404923697332	-3844.2354859779884	66.13960516933523	1927.8603948306647	243.55832148341514	0.8592060592524338	2.3612852287405586	-0.15602347359198276	-0.09996225960618932	20.0	18.440404095063144	0.2801857952236987	0.21616167849617393	0.24880147184040746	0.2548510544397203	8.709148398301172E-4	8.709148398301173E-4	-3844.2354859779884	0.0	-87.29207087503531
41000	-3937.1299469765195	-90.25270192439481	-3846.8772450521246	68.98550372041629	1925.0144962795837	274.3649900328682	0.4213842230585869	1.524069748666297	-0.15602347359198276	-0.0641893066264494	20.0	20.63387404550779	0.2750771430966583	0.22169444290846088	0.2526764292337596	0.2505519847611215	8.12824435958609E-4	8.128244359586091E-4	-3846.8772450521246	0.0	-89.51586126827594
42000	-3947.7541856585412	-93.35456094702896	-3854.3996247115124	80.80469146893711	1913.195308531063	317.18882227081576	1.185244783730221	3.2714875303827546	-0.17381441299364608	-0.05955349039143809	20.0	15.794747375849004	0.27052029731723776	0.21665514549220097	0.2509243864273166	0.26190017076324484	6.933457221489212E-4	6.933457221489213E-4	-3854.3996247115124	0.0	-92.73714186534067
43000	-3941.6198946138284	-91.29651126006925	-3850.3233833537593	75.22989921070703	1918.7701007892929	289.5982267284833	0.19622580034107473	1.2168016285395968	-0.15972656557280795	-0.05955349039143809	20.0	17.235320733253207	0.275070145267827	0.20575588263246486	0.24449269326101164	0.2746812788386966	6.915512858578708E-4	6.915512858578708E-4	-3850.3233833537593	0.0	-91.16375497056131
44000	-3945.2838118489835	-94.54811380425299	-3850.7356980447307	77.97595704646187	1916.0240429535381	316.8357760592939	0.7191706614107253	2.052730096230083	-0.1931004266892855	-0.05955349039143809	20.0	13.647428820311742	0.27550126861472485	0.21803324744074742	0.25604487079970784	0.25042061314482	6.204919214065268E-4	6.204919214065268E-4	-3850.7356980447307	0.0	-94.73734668492993
45000	-3943.671199954406	-89.47149991089783	-3854.199700043508	77.00736922437827	1916.9926307756218	304.8232608139106	0.1995559839097801	1.220860556065043	-0.1931004266892855	-0.02638876517448785	20.0	15.177686221911795	0.2785745678815489	0.2229493231692665	0.24848800844010163	0.24998810050908307	6.832640000814098E-4	6.832640000814098E-4	-3854.199700043508	0.0	-89.6337617205531
46000	-3941.7483393483785	-90.91988776699965	-3850.828451581379	67.95325826155205	1926.046741738448	270.0014868563282	0.6322771559512549	1.881891063184088	-0.1931004266892855	-0.010035981072149758	20.0	23.723846893478512	0.27971296724382444	0.21073216019065336	0.26413764493672587	0.2454172276287964	8.267345750519654E-4	8.267345750519654E-4	-3850.828451581379	0.0	-89.74550615034343
47000	-3937.0681152726343	-92.52497413920861	-3844.5431411334257	65.3543088973301	1928.6456911026698	265.9854875126308	1.752360001603345	5.7681995856011525	-0.2141578633534007	-0.010035981072149758	20.0	16.174667223028788	0.30086327492013354	0.20156122838676063	0.25599656161497514	0.24157893507813072	7.951112628905324E-4	7.951112628905325E-4	-3844.5431411334257	0.0	-90.88496006809031
48000	-3942.007255046379	-93.81962014164911	-3848.18763490473	74.84165710274249	1919.1583428972576	301.70172423861106	1.7722972122411793	5.884355460246179	-0.2141578633534007	-0.010035981072149758	20.0	18.97336757991037	0.2838704714093274	0.20219144571480968	0.25283739154096424	0.2611006913348987	6.914630015518079E-4	6.91463001551808E-4	-3848.18763490473	0.0	-91.9302803510277
49000	-3946.8223997044615	-92.07365776661354	-3854.748741937848	72.32442146319887	1921.6755785368011	291.7271557691478	0.7938505938114981	2.211897166845286	-0.2162416843814814	-0.00871784586303237	20.0	11.828774275628335	0.2897958374740405	0.21573520757928621	0.23903041102638578	0.25543854392028764	7.734800887652641E-4	7.734800887652641E-4	-3854.748741937848	0.0	-92.33772151543539
50000	-3945.2846248674823	-97.95723493568222	-3847.3273899318	73.91052702353646	1920.0894729764636	323.5044239787644	1.8258171081449952	6.2078654446976245	-0.2446623962356378	-0.010766624252614543	20.0	16.67235374720692	0.29448936168248196	0.22035007264219003	0.2399078270674238	0.2452527386079041	6.399932694726521E-4	6.399932694726519E-4	-3847.3273899318	0.0	-96.30021902656983
51000	-3949.752078820559	-95.90839809303394	-3853.8436807275248	74.77917639994912	1919.2208236000508	302.8843579170278	1.188098817837627	3.280837804029476	-0.2363259963472315	-0.010766624252614543	20.0	19.04397778186568	0.276665767310941	0.21853096124268423	0.25152220225690536	0.25328106918946935	6.723904980749769E-4	6.723904980749769E-4	-3853.8436807275248	0.0	-94.87345078025811
52000	-3955.423917174975	-99.18697469114686	-3856.236942483828	68.96992519720942	1925.0300748027905	290.7693888696159	1.907423786057502	6.735713787496075	-0.2363259963472315	0.011604059302034342	20.0	20.40946234925635	0.2899574151113444	0.21957627870187366	0.26110141505917683	0.22936489112760514	7.066401933045738E-4	7.066401933045739E-4	-3856.236942483828	0.0	-96.8337230130502
53000	-3945.3960711930513	-97.43507524034099	-3847.96099595271	78.02134321771052	1915.9786567822894	326.89064441657604	0.8707405602912961	2.388679159609079	-0.24132276065529834	0.008619699272575332	20.0	25.64368821693195	0.29080222758106866	0.22102209893528169	0.25206328080645607	0.2361123926771936	6.701987624174834E-4	6.701987624174831E-4	-3847.96099595271	0.0	-96.05172079490907
54000	-3946.909818517416	-96.21861091230284	-3850.6912076051135	72.46379148942754	1921.5362085105726	315.64214806824225	0.76785761372304	2.1551441531317534	-0.2095081285783995	0.0028953982591191085	20.0	18.742480464708223	0.2881171792356389	0.21630660400291252	0.26116940839191405	0.2344068083695346	7.266534720861166E-4	7.266534720861167E-4	-3850.6912076051135	0.0	-95.62121691373632
55000	-3946.681242461801	-91.68771495677137	-3854.9935275050298	64.07270982160159	1929.9272901783984	267.70798096931804	0.9731288480212925	2.6462111124626966	-0.20291095672975268	0.0020723854589310697	20.0	16.61648307614195	0.2834773548101903	0.2305048207010943	0.23967360607987748	0.24634421840883802	7.938665054334888E-4	7.93866505433489E-4	-3854.9935275050298	0.0	-91.07383792559618
56000	-3936.956787146777	-84.94890243624329	-3852.0078847105337	62.64163625517727	1931.3583637448228	232.20691161676848	0.8453147121853353	2.3287105728536024	-0.1798555695698778	-0.03316968000427978	20.0	17.124941980223966	0.2792598416771989	0.23365914681439162	0.2465801868515652	0.24050082465684436	9.49345941218137E-4	9.493459412181372E-4	-3852.0078847105337	0.0	-84.2093573507284
57000	-3939.90544860367	-88.15574861738304	-3851.749699986287	59.217282027555164	1934.7827179724447	223.90861293934006	0.4476355670462686	1.564608396882492	-0.19236609791177894	-0.019302363304217973	20.0	18.015523408566068	0.2789878439212868	0.21524667745586817	0.2535192865406834	0.25224619208216176	0.001090481595544774	0.0010904815955447738	-3851.749699986287	0.0	-87.45219091507788
58000	-3947.180389974089	-88.92257610254846	-3858.2578138715403	62.589427764508514	1931.4105722354916	242.77475720911985	0.6893093273939065	1.992339003960182	-0.20874744552432478	-0.018045398348108588	20.0	17.3170405857549	0.28429233459886993	0.2245621936836415	0.2636656951516409	0.22747977656584767	8.440940582445036E-4	8.440940582445037E-4	-3858.2578138715403	0.0	-88.36116065265942
59000	-3947.0630586513835	-91.56672882793615	-3855.4963298234475	70.3230497450908	1923.6769502549091	295.72946218402666	0.30292186728903375	1.3538086835672922	-0.20634775280186113	-0.018045398348108588	20.0	18.061660470962707	0.2816461807526641	0.22281103372552263	0.2415808679177564	0.25396191760405684	6.712850384314574E-4	6.712850384314575E-4	-3855.4963298234475	0.0	-91.32644225122445
60000	-3939.6063730147425	-90.29678495156251	-3849.30958806318	74.6262803402588	1919.3737196597413	287.3027144594465	0.8625028610407184	2.369082764507698	-0.20924485823434624	-0.018045398348108588	20.0	16.739419461232995	0.2920608538806125	0.20676731823525848	0.23537383164440162	0.2657979962397275	7.246822190708385E-4	7.246822190708388E-4	-3849.30958806318	0.0	-89.83143808097199
61000	-3952.157653802765	-94.86685528218825	-3857.2907985205766	69.53935145602529	1924.4606485439747	296.68619653196515	0.28360123934591386	1.3279033095714805	-0.20657648606752121	-0.018045398348108588	20.0	17.10388587835977	0.29396658180649754	0.2001013227662589	0.23851766908461206	0.2674144263426316	7.17856284093278E-4	7.178562840932779E-4	-3857.2907985205766	0.0	-94.70519794240178
62000	-3936.632994372761	-89.8347722227274	-3846.798222150034	62.71798988614095	1931.282010113859	248.09491808269857	0.10230408800475349	1.1077202649631444	-0.17599585419738384	-0.06732704069832107	20.0	18.921959256318843	0.2967748792691073	0.21053339282274305	0.24100761982193442	0.2516841080862153	8.954251779031133E-4	8.954251779031131E-4	-3846.798222150034	0.0	-89.25708070266472
63000	-3944.0543134381323	-89.99908515734452	-3854.055228280788	68.64890426393187	1925.3510957360681	258.3953981848713	0.48972501411713326	1.6318674177484804	-0.1696315177880925	-0.06732704069832107	20.0	20.586857222676116	0.28573842240221936	0.2045674551300997	0.24430315737760872	0.2653909650900722	8.047221359788137E-4	8.047221359788137E-4	-3854.055228280788	0.0	-89.20970355712721
64000	-3944.215801583983	-92.30574257998693	-3851.910059003996	74.29313480335622	1919.7068651966438	294.95768938330576	1.0610829472800658	2.8894984700227826	-0.1828356132784703	-0.023318765217800852	20.0	13.536179180696527	0.30588619457716293	0.19097062013793928	0.2347961757928519	0.2683470094920459	6.802569993726642E-4	6.802569993726642E-4	-3851.910059003996	0.0	-92.16793803197467
65000	-3950.172214330893	-94.68424109967411	-3855.487973231219	69.26000108743263	1924.7399989125674	309.617136606825	0.6694361435961347	1.9531357220089327	-0.1828356132784703	-0.031142269850069182	20.0	13.123869255612782	0.31266953148023463	0.19394118461331125	0.2416530436752678	0.25173624023118624	6.25646584841629E-4	6.256465848416287E-4	-3855.487973231219	0.0	-95.01292931403479
66000	-3936.9619390827556	-88.83910015522287	-3848.122838927533	64.02808411557965	1929.9719158844205	257.99971286292856	0.10613821458058145	1.1119755571210796	-0.1982767505853258	-0.031142269850069182	20.0	16.389845744194016	0.30220682170410795	0.20178993292831562	0.2453453965674568	0.2506578488001195	8.253406680520333E-4	8.253406680520332E-4	-3848.122838927533	0.0	-88.65990661663562
67000	-3941.8796174231115	-90.3888028009708	-3851.4908146221405	66.89595439556881	1927.1040456044311	271.05510987793923	0.21104477531313706	1.2349676498867015	-0.19681226457623002	-0.031142269850069182	20.0	15.990084601581128	0.2842755340902967	0.2094329842063234	0.25200882384068946	0.25428265786269016	7.704257531787525E-4	7.704257531787525E-4	-3851.4908146221405	0.0	-90.31054640713563
68000	-3938.603060379681	-85.40314783929792	-3853.199912540383	65.34793127958181	1928.6520687204181	250.37384154727533	0.15815195169386992	1.1713441689161572	-0.16850801882796484	-0.031142269850069182	20.0	16.776529717461212	0.285522569025492	0.21320242922224317	0.24657679563561516	0.25469820611664934	8.549501677155402E-4	8.549501677155402E-4	-3853.199912540383	0.0	-85.16279860566617
69000	-3938.4439004773026	-87.02172871840057	-3851.422171758902	63.78911629034689	1930.2108837096532	255.46531029644126	0.4341130565592321	1.5435933716073664	-0.18265383500260102	-0.033873796258480304	20.0	16.380986148019346	0.27954578941281794	0.20913757791770302	0.2564911585317206	0.25482547413775813	9.125055566938545E-4	9.125055566938545E-4	-3851.422171758902	0.0	-86.6926837413798
70000	-3939.2043520647644	-87.24552190049927	-3851.9588301642652	66.95536546751667	1927.0446345324833	252.1028083773771	1.0146642476063734	2.758437090024384	-0.18265383500260102	-0.033873796258480304	20.0	12.012199925603804	0.28514285005498	0.2193723028499084	0.2515250555201905	0.24395979157492073	8.525903420866232E-4	8.525903420866229E-4	-3851.9588301642652	0.0	-87.17742371759631
71000	-3940.066279379703	-86.76017837298869	-3853.306101006714	64.01238443624156	1929.9876155637585	223.67315914062107	1.3620603845276416	3.90422923390319	-0.18265383500260102	-0.026093360012568567	20.0	21.06875254858908	0.297772177609596	0.1900508634645113	0.2675543891512609	0.24462256977463157	9.828661877744338E-4	9.828661877744338E-4	-3853.306101006714	0.0	-84.95398301717837
72000	-3937.821306769526	-83.5546690568871	-3854.266637712639	62.11038132184441	1931.8896186781556	222.55577429732034	0.8980019368186332	2.4546935751546775	-0.16008020020105662	-0.02274437429992604	20.0	12.224055774723926	0.2860545702114561	0.20447140670691732	0.2610303955303501	0.2484436275512762	9.822254134797233E-4	9.822254134797233E-4	-3854.266637712639	0.0	-83.460875018856
